event_name,event_date,event_location,event_url,fight_url,r_fighter,b_fighter,r_fighter_url,b_fighter_url,winner_name,finish_round,finish_time,time_format,total_rounds,referee,is_title_bout,weight_class,r_kd,b_kd,r_sig_str,r_sig_str_att,b_sig_str,b_sig_str_att,r_sig_str_pct,b_sig_str_pct,r_str,r_str_att,b_str,b_str_att,r_td,r_td_att,b_td,b_td_att,r_td_pct,b_td_pct,r_sub_att,b_sub_att,r_rev,b_rev,r_ctrl_sec,b_ctrl_sec,r_name,r_wins,r_losses,r_draws,r_height_in,r_weight_lbs,r_reach_in,r_stance,r_dob,r_slpm,r_str_acc,r_sapm,r_str_def,r_td_avg,r_td_acc,r_td_def,r_sub_avg,b_name,b_wins,b_losses,b_draws,b_height_in,b_weight_lbs,b_reach_in,b_stance,b_dob,b_slpm,b_str_acc,b_sapm,b_str_def,b_td_avg,b_td_acc,b_td_def,b_sub_avg,win_red
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/15ec018d144710db,http://ufcstats.com/fight-details/f030febede41c661,Max Holloway,Charles Oliveira,http://ufcstats.com/fighter-details/150ff4cc642270b9,http://ufcstats.com/fighter-details/07225ba28ae309b6,Charles Oliveira,5,5:00,5 Rnd (5-5-5-5-5),5,Marc Goddard,0,Lightweight,0,0,8,13,10,14,0.61,0.71,11,16,19,25,0,0,1,1,,1.0,0,2,0,0,0,270,Max Holloway,27,9,0,71.0,155.0,69.0,Orthodox,"Dec 04, 1991",6.91,0.48,4.61,0.58,0.23,0.53,0.81,0.3,Charles Oliveira,37,11,0,70.0,155.0,74.0,Orthodox,"Oct 17, 1989",3.23,0.55,3.05,0.48,2.29,0.39,0.54,2.6,0
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/15ec018d144710db,http://ufcstats.com/fight-details/d564db29997e1371,Caio Borralho,Reinier de Ridder,http://ufcstats.com/fighter-details/4126a78111c0855a,http://ufcstats.com/fighter-details/d549cefc7c54ab78,Caio Borralho,3,5:00,3 Rnd (5-5-5),3,Herb Dean,0,Middleweight,0,0,24,42,19,51,0.57,0.37,24,42,30,62,0,0,2,5,,0.4,0,0,0,0,0,86,Caio Borralho,18,2,0,73.0,185.0,75.0,Southpaw,"Jan 16, 1993",3.47,0.56,2.61,0.6,1.25,0.5,0.76,0.4,Reinier de Ridder,21,4,0,76.0,185.0,78.0,Southpaw,"Sep 07, 1990",2.47,0.48,2.36,0.46,2.56,0.29,0.4,0.6,1
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/15ec018d144710db,http://ufcstats.com/fight-details/bed89a91da9d04c1,Rob Font,Raul Rosas Jr.,http://ufcstats.com/fighter-details/05339613bf8e9808,http://ufcstats.com/fighter-details/fe2babf95de24fb1,Raul Rosas Jr.,3,5:00,3 Rnd (5-5-5),3,Jason Herzog,0,Bantamweight,0,0,7,20,5,22,0.35,0.22,8,21,12,29,0,1,5,6,0.0,0.83,0,0,0,0,0,131,Rob Font,22,10,0,68.0,135.0,71.0,Orthodox,"Jun 25, 1987",5.11,0.45,3.53,0.57,0.7,0.29,0.37,0.3,Raul Rosas Jr.,12,1,0,69.0,135.0,67.0,Switch,"Oct 08, 2004",1.34,0.42,1.24,0.52,6.1,0.54,0.25,0.9,0
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/15ec018d144710db,http://ufcstats.com/fight-details/f02c0adc4ae629c6,Drew Dober,Michael Johnson,http://ufcstats.com/fighter-details/519e4fe37ce9ff75,http://ufcstats.com/fighter-details/511e82663651438d,Drew Dober,2,1:53,3 Rnd (5-5-5),3,Kerry Hatley,0,Lightweight,0,0,11,29,18,51,0.37,0.35,11,29,18,51,0,0,0,0,,,0,0,0,0,0,0,Drew Dober,29,15,0,68.0,155.0,70.0,Southpaw,"Oct 19, 1988",4.48,0.41,4.33,0.53,0.61,0.16,0.58,0.1,Michael Johnson,25,20,0,70.0,155.0,73.0,Southpaw,"Jun 04, 1986",4.27,0.39,3.78,0.58,0.57,0.38,0.81,0.0,1
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/15ec018d144710db,http://ufcstats.com/fight-details/6a4738656c493ee9,Gregory Rodrigues,Brunno Ferreira,http://ufcstats.com/fighter-details/d1c65d2cf2925ddd,http://ufcstats.com/fighter-details/1e719d4b676dc19a,Gregory Rodrigues,1,1:47,3 Rnd (5-5-5),3,Chris Tognoni,0,Middleweight,1,0,2,6,2,5,0.33,0.4,2,6,2,5,0,0,0,0,,,0,0,0,0,0,0,Gregory Rodrigues,19,6,0,75.0,185.0,75.0,Orthodox,"Feb 17, 1992",5.53,0.51,4.78,0.5,1.9,0.34,0.75,0.4,Brunno Ferreira,15,3,0,70.0,185.0,72.0,Orthodox,"Nov 04, 1992",3.77,0.5,3.91,0.51,1.25,0.23,0.61,0.8,1
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/15ec018d144710db,http://ufcstats.com/fight-details/ecd16d14a138d7fb,Cody Garbrandt,Xiao Long,http://ufcstats.com/fighter-details/d8c7c61b176e3994,http://ufcstats.com/fighter-details/86bace9e4ad85542,Cody Garbrandt,3,5:00,3 Rnd (5-5-5),3,Herb Dean,0,Bantamweight,0,0,10,20,20,31,0.5,0.64,10,20,20,31,0,2,0,0,0.0,,0,0,0,0,27,0,Cody Garbrandt,15,7,0,68.0,135.0,65.0,Orthodox,"Jul 07, 1991",2.79,0.4,3.66,0.58,0.85,0.22,0.81,0.0,Xiao Long,27,11,0,68.0,135.0,70.0,Orthodox,"Apr 13, 1998",5.06,0.47,3.85,0.5,0.74,0.27,0.82,0.0,1
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/15ec018d144710db,http://ufcstats.com/fight-details/9c8d5dbd8905a715,Donte Johnson,Cody Brundage,http://ufcstats.com/fighter-details/ad5cb64af10fc946,http://ufcstats.com/fighter-details/f14f644d41ade29f,Donte Johnson,3,5:00,3 Rnd (5-5-5),3,Marc Goddard,0,Middleweight,0,0,10,25,5,20,0.4,0.25,29,44,6,23,0,0,1,2,,0.5,0,0,0,0,0,201,Donte Johnson,8,0,0,68.0,185.0,74.0,Southpaw,"Jan 25, 1999",3.11,0.48,2.0,0.61,2.0,1.0,0.75,0.7,Cody Brundage,11,9,1,72.0,185.0,72.0,Orthodox,"May 16, 1994",2.26,0.48,3.02,0.5,1.88,0.41,0.68,0.5,1
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/15ec018d144710db,http://ufcstats.com/fight-details/6feb49a6b7e8433c,Ricky Turcios,Alberto Montes,http://ufcstats.com/fighter-details/cd3d7e37ff2d679c,http://ufcstats.com/fighter-details/a112097ad877a48f,Alberto Montes,2,0:40,3 Rnd (5-5-5),3,Kerry Hatley,0,Featherweight,0,0,19,53,26,47,0.35,0.55,33,67,33,54,0,2,0,0,0.0,,0,0,0,0,114,9,Ricky Turcios,13,6,0,69.0,145.0,71.0,Orthodox,"Jun 05, 1993",4.68,0.39,3.84,0.51,0.85,0.17,0.44,0.3,Alberto Montes,12,1,0,67.0,145.0,69.0,Orthodox,"May 31, 1994",5.26,0.6,4.44,0.6,0.0,0.0,0.77,6.8,0
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/15ec018d144710db,http://ufcstats.com/fight-details/f661ef429055f8c1,Cody Durden,Nyamjargal Tumendemberel,http://ufcstats.com/fighter-details/7f6ed67d3ed3c036,http://ufcstats.com/fighter-details/17cb6d8e8187f304,Nyamjargal Tumendemberel,3,5:00,3 Rnd (5-5-5),3,Jason Herzog,0,Flyweight,0,0,4,8,9,13,0.5,0.69,21,25,15,19,3,6,1,1,0.5,1.0,0,1,0,0,111,97,Cody Durden,17,10,1,67.0,125.0,67.0,Southpaw,"Mar 29, 1991",3.34,0.44,4.19,0.5,3.89,0.46,0.6,0.6,Nyamjargal Tumendemberel,10,1,0,67.0,125.0,71.0,Orthodox,"Mar 22, 1998",2.72,0.42,2.47,0.53,3.37,0.5,0.56,2.1,0
UFC 326: Holloway vs. Oliveira 2,"March 07, 2026","Las Vegas, Nevada, USA",http://ufcstats.com/event-details/15ec018d144710db,http://ufcstats.com/fight-details/a22fd3735819d858,Sumudaerji,Jesus Aguilar,http://ufcstats.com/fighter-details/3cf18e01cb6cbde3,http://ufcstats.com/fighter-details/c051c2e12d692b8a,Sumudaerji,3,5:00,3 Rnd (5-5-5),3,Chris Tognoni,0,Flyweight,0,0,16,44,13,35,0.36,0.37,19,47,16,38,1,1,0,1,1.0,0.0,0,0,0,0,13,59,Sumudaerji,19,7,0,68.0,125.0,72.0,Southpaw,"Jan 20, 1996",4.43,0.5,2.35,0.62,0.67,0.35,0.72,0.5,Jesus Aguilar,12,4,0,64.0,125.0,62.0,Orthodox,"Mar 13, 1996",2.54,0.38,2.29,0.61,1.52,0.29,0.45,1.1,1
